defined_class	defined_class_label	french_term	definition	definition_source	act_source
GCDE:0045042	paying officer	Sa Majesté	any person designated as such by regulation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045043	prescribed	créance sur Sa Majesté	prescribed by regulation.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045044	payment bond	agent payeur	a bond held by the Crown as security for the payment of certain classes of persons who perform labour or services or supply material in connection with a contract between the Crown and a contractor.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045045	agent corporation	Version anglaise seulement	a Crown corporation that is expressly declared by or pursuant to any other Act of Parliament to be an agent of the Crown;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045046	appoint	Sa Majesté	elect and designate;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045047	articles	cautionnement	a original or restated articles of incorporation, articles of amendment, articles of amalgamation, articles of continuance, articles of reorganization, articles of arrangement, articles of dissolution and articles of revival, and includes any amendments thereto, andb letters patent, memorandum of association and any constating documents or other documents of a like nature to those referred to in paragraph a, and includes any amendments thereto;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045048	auditor	société mandataire	a partnership of auditors;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045049	board of directors	nomination	a board of directors, by whatever name called, of a corporation and includes a group of persons, other than a minister of the Crown, that constitutes a corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045050	by-law	ministre de tutelle	a by-law, by whatever name called, of a corporation and includes an amendment or a repeal of a by-law;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045051	chairperson	statuts	a person occupying the position of chairperson, by whatever name called, of the board of directors of a corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045052	charter	vérificateur	a in relation to a corporation established by an Act of Parliament, the Act, andb in relation to a corporation established by articles, the articles;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045053	corporation	conseil d’administration	a company or other body corporate wherever or however incorporated;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045054	director	règlements administratifs	a person occupying the position of director, by whatever name called, of a corporation and includes any person, other than a minister of the Crown, in a group of persons that constitutes a corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045055	major business or activity	président	in relation to a parent Crown corporation or a wholly-owned subsidiary, means a class of business or activity of the corporation or subsidiary established pursuant to subsection 10 or, if no classes are so established, all the business or activity of the corporation or subsidiary;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045056	regulations	acte constitutif	the regulations made under this Part;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045057	share	personne morale	a membership interest or ownership interest in a corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045058	wholly-owned subsidiary	Sa Majesté	a corporation that is wholly owned by one or more parent Crown corporations directly or indirectly through any number of subsidiaries each of which is wholly owned directly or indirectly by one or more parent Crown corporations.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045059	annual report	société d’État	a report made pursuant to section 150;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045060	examiner	administrateur	a person designated by or appointed pursuant to section 142 to carry out a special examination;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045061	objectives	activités principales	in relation to a parent Crown corporation, means the objectives of the corporation as set out in a corporate plan or an amendment to a corporate plan that has been approved pursuant to section 122;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045062	special examination	société d’État mère	an examination referred to in subsection 1381.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045063	former agency	règlements	the portion of the federal public administration known as the Public Health Agency of Canada.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045064	new agency	action	the Public Health Agency of Canada established under section 3.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045065	alternative format	support de substitution	with respect to a record, means a format that allows a person with a sensory disability to read or listen to that record;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045066	business day	jour ouvrable	a day other thana a Saturday;b a Sunday or other holiday; andc a day that falls during the Christmas recess, as defined in section 2 of the Federal Courts Rules;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045067	designated Minister	ministre désigné	a person who is designated as the Minister under subsection 3.21;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045068	foreign state	État étranger	any state other than Canada;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045069	government institution	institution fédérale	a any department or ministry of state of the Government of Canada, or any body or office, listed in Schedule I, andb any parent Crown corporation, and any wholly-owned subsidiary of such a corporation, within the meaning of section 83 of the Financial Administration Act;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045070	head	responsable d’institution fédérale	in respect of a government institution, meansa in the case of a department or ministry of state, the member of the Queen s Privy Council for Canada who presides over the department or ministry, orb in any other case, either the person designated under subsection 3.22 to be the head of the institution for the purposes of this Act or, if no such person is designated, the chief executive officer of the institution, whatever their title;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045071	Information Commissioner	Commissaire à l’information	the Commissioner appointed under section 54;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045072	personal information	renseignements personnels	any personal information, as defined in section 3 of the Privacy Act, that is contained in a record or copy.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045073	record	document	 other than in section 28, a record referred to in subsection 291 or 2 of the Ending the Long-gun Registry Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045074	sensory disability	déficience sensorielle	a disability that relates to sight or hearing;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045075	third party	tiers	in respect of a request for access to a record under Part 1, means any person, group of persons or organization other than the person that made the request or a government institution.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045076	defence of Canada or any state allied or associated with Canada	défense du Canada ou d’États alliés ou associés avec le Canada	the efforts of Canada and of foreign states toward the detection, prevention or suppression of activities of any foreign state directed toward actual or potential attack or other acts of aggression against Canada or any state allied or associated with Canada;	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045077	subversive or hostile activities	activités hostiles ou subversives	a espionage against Canada or any state allied or associated with Canada,b sabotage,c activities directed toward the commission of terrorist acts, including hijacking, in or against Canada or foreign states,d activities directed toward accomplishing government change within Canada or foreign states by the use of or the encouragement of the use of force, violence or any criminal means,e activities directed toward gathering information used for intelligence purposes that relates to Canada or any state allied or associated with Canada, andf activities directed toward threatening the safety of Canadians, employees of the Government of Canada or property of the Government of Canada outside Canada.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045078	minister	ministre	the Prime Minister and any Minister of State or Associate Minister.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045079	ministerial adviser	conseiller ministériel	the same meaning as in subsection 21 of the Conflict of Interest Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045080	ministerial staff	personnel ministériel	the same meaning as in subsection 21 of the Conflict of Interest Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045081	quarter	trimestre	a three-month period that begins on the first day of January, April, July or October.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045082	government entity	entité fédérale	a government institution that isa a department named in Schedule I to the Financial Administration Act,b a division or branch of the federal public administration set out in column I of Schedule I.1 to that Act, orc a corporation named in Schedule II to that Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045083	senior officer or employee	trimestre	 in respect of a government institution, any person who exercises the powers or performs the duties and functions of a deputy minister, an associate deputy minister, an assistant deputy minister, a deputy head, an assistant deputy head, a president, a vice-president, a chief executive officer or a member of a board of directors, and any person who holds a position of an equivalent rank.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045084	Chief Administrator	dirigeant ou employé	the Chief Administrator of the Courts Administration Service.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045085	Commissioner	administrateur en chef	the Commissioner for Federal Judicial Affairs.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045086	Registrar	commissaire	the Registrar of the Supreme Court of Canada.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045087	Deputy Registrar	trimestre	the Deputy Registrar of the Supreme Court.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045088	Office of the Registrar of the Supreme Court	registraire	the Registrar and that portion of the federal public administration appointed under subsection 122 of the Supreme Court Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045089	Supreme Court	registraire adjoint	the Supreme Court of Canada.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045090	judge	Bureau du registraire de la Cour Suprême	a judge of a superior court other than the Supreme Court of Canada.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045091	Office	Cour suprême	the Office of the Commissioner for Federal Judicial Affairs.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045092	former agency	juge	the portion of the federal public administration known as the Public Health Agency of Canada.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045093	new agency	Bureau	the Public Health Agency of Canada established under section 3.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045094	order P.C. 2003-2064	ancienne agence	Order in Council P.C. 2003-2064 of December 12, 2003, registered as SI/2003-216.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045095	commencement day	nouvelle agence	the day on which this Act receives royal assent.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045096	copy	ancienne agence	a copy referred to in subsection 291 or 2 of the Ending the Long-gun Registry Act.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045097	specified proceeding	nouvelle agence	any request, complaint, investigation, application, judicial review, appeal or other proceeding under the Access to Information Act or the Privacy Act that is with respect to a record or copy or to personal information and thata was made or initiated on or before June 22, 2015 and was not concluded, or in respect of which no decision was made, on or before that day; orb was made or initiated after June 22, 2015 but before the commencement day.	https://laws-lois.justice.gc.ca/eng/acts/A-1/FullText.html	'Access to Information Act: R.S.C.: , 1985, c. A-1'
GCDE:0045098	Minister	ministre	the Minister of Employment and Social Development.	https://laws-lois.justice.gc.ca/eng/acts/C-3.7/FullText.html	'Canada Emergency Response Benefit Act: S.C.:  2020, c. 5, s. 8'
GCDE:0045099	week	semaine	the period of seven consecutive days beginning on and including Sunday.	https://laws-lois.justice.gc.ca/eng/acts/C-3.7/FullText.html	'Canada Emergency Response Benefit Act: S.C.:  2020, c. 5, s. 8'
GCDE:0045100	worker	travailleur	a person who is at least 15 years of age, who is resident in Canada and who, for 2019 or in the 12-month period preceding the day on which they make an application under section 5, has a total income of at least $5,000   or, if another amount is fixed by regulation, of at least that amount   from the following sources:a employment;b self-employment;c benefits paid to the person under any of subsections 221, 231, 152.041 and 152.051 of the Employment Insurance Act; andd allowances, money or other benefits paid to the person under a provincial plan because of pregnancy or in respect of the care by the person of one or more of their new-born children or one or more children placed with them for the purpose of adoption.	https://laws-lois.justice.gc.ca/eng/acts/C-3.7/FullText.html	'Canada Emergency Response Benefit Act: S.C.:  2020, c. 5, s. 8'
GCDE:0045101	Act	loi	in respect of an Act of a legislature, includes a law of the Legislature of Yukon, of the Northwest Territories or for Nunavut;	https://laws-lois.justice.gc.ca/eng/acts/I-21/FullText.html	'Interpretation Act: R.S.C.: , 1985, c. I-21'
GCDE:0045102	enact	Version anglaise seulement	to issue, make or establish;	https://laws-lois.justice.gc.ca/eng/acts/I-21/FullText.html	'Interpretation Act: R.S.C.: , 1985, c. I-21'
GCDE:0045103	enactment	texte	an Act or regulation or any portion of an Act or regulation;	https://laws-lois.justice.gc.ca/eng/acts/I-21/FullText.html	'Interpretation Act: R.S.C.: , 1985, c. I-21'
