ID	Label	Entity Short Form	Tags	Type	SubType	Description	OrgClass	OrgSubType	Portfolio	URL	Source of Entry	Admin Notes	Data Provider	Record Status	Last Modified By	Created	French Entity Full Name	French Short Form	French Description	French URL
GCDE:0005267	CDS Learning Resources - Accessibility		DigitalTalent	Learning Resources		Building accessible services means meeting the needs of as many people as possible. Ensuring that everyone can interact with our services in a way that meets their individual needs and promotes their independence and dignity is important to us. At the Canadian Digital Service, we are committed to building accessible and inclusive services by working across all disciplines  blurring the lines between research, development, design, and accessibility.	Government of Canada			https://learning-resources.cdssandbox.xyz/topic/accessibility/				Essential data complete	Thom Kearney	12/11/2022				
GCDE:0005189	CDS Learning Resources - Hiring 		DigitalTalent, HR	Learning Resources	Framework	Pilot version that includes competencies for some key new digital job functions such as Research, Service Design, Product Owner etc.	Government of Canada			https://learning-resources.cdssandbox.xyz/topic/hiring				Essential data complete	Thom Kearney	9/28/2022				
GCDE:0005270	CDS Learning Resources - Human-centred design		DigitalTalent	Learning Resources		People expect services to be easy to use, inclusive, and reliable. Working hand in hand with people who use services, and starting with inclusivity and accessibility in mind, can help meet these needs and expectations. At the Canadian Digital Service CDS, drawing on the skills and expertise covering the full range of the creation process, including service design, content design, and interaction design, helps to measurably improve the experience and outcomes for people using services.	Government of Canada			https://learning-resources.cdssandbox.xyz/topic/design				Essential data complete	Thom Kearney	12/11/2022				
GCDE:0005268	CDS Learning Resources - UX Research 		DigitalTalent	Learning Resources		User experience UX research helps build services that meet human needs. While there are some similarities, UX research is different than traditional government consultations, business requirements gathering, and public opinion research. UX or design research helps us understand the people who use our services. If we understand them, we can better meet their needs. Interviews, observations, and usability testing are all types of design research.	Government of Canada			https://learning-resources.cdssandbox.xyz/topic/ux-research				Essential data complete	Thom Kearney	12/11/2022				
GCDE:0004344	CEEI Primary Indicators Per Capita 2007 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/3fddbb00-86d0-4a8a-9013-65cd47a6474f	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004345	CEEI Primary Indicators Per Capita 2007 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/fb979ed6-9d05-4de8-b1b6-f8acb212bfcb	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004346	CEEI Primary Indicators Total 2007 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/2f877f48-674c-454c-b2aa-13cdec083ba7	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004347	CEEI Primary Indicators Total 2007 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/05a664ce-c255-43dd-98a0-ea9735d08f8f	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004348	CEEI Supporting Indicators Total 1996 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/96902bad-6f35-4440-a2eb-d428abef5602	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004349	CEEI Supporting Indicators Total 1996 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/dd1c1225-3a4c-4181-85d2-2c07f05a91ca	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004350	CEEI Supporting Indicators Total 2001 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/c19e11b8-8e75-45ae-9faa-c398d116026a	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004351	CEEI Supporting Indicators Total 2001 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/21486b7c-480a-4757-a7f8-8c780d156249	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004352	CEEI Supporting Indicators Total 2006 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/cfbd1e7a-eaf7-4f18-92d1-6c52ddee9d51	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004353	CEEI Supporting Indicators Total 2006 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/d1be3579-82af-489b-90dd-3463c06dee58	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004354	CEEI Supporting Indicators Total 2009 Communities		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/a9eb4249-5e75-474a-b58b-4a88908037d5	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0004355	CEEI Supporting Indicators Total 2009 Regional Districts		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/32966665-8e5c-4f9e-b10d-311355f2a1f0	From OPEN DATA and From FGP		British Columbia Government 	Legacy	Thom Kearney	2/11/2022				
GCDE:0000090	Central Agency Initiative Tracker (CAIT) - Proposal			Projects and Initiatives		Proposal for shared tracker.	Government of Canada				Original Prototype			Legacy	Thom Kearney	1/27/2021				
GCDE:0001837	CERB		ESDC-DEMO	Teams				Division						Legacy	Thom Kearney	10/6/2021				
GCDE:0005032	CFIA - Roles and Responsibilities for Data Stewardship	CFIA	DataStewardship, JobDescriptions	Policy Instruments		Guidelines and Standards on Roles and Responsibilities for Data Stewardship to be applied to potential or confirmed data stewards within the agency	Government of Canada				Data Stewardship Quest	Yes		Essential data complete	Thom Kearney	6/17/2022				
GCDE:0000658	CFR REGTalks Session: The Assembling of Evidence - Understanding the Role of Data in Regulatory Design		DataLiteracy , RegTech	Learning Resources	Videos	The series will guide you through the critical steps in regulatory design	Government of Canada			https://www.gcpedia.gc.ca/wiki/CFR_Regulatory_Design_May_19,_2021				Legacy	Thom Kearney	7/26/2021	La série explorera les étapes critiques de la conception de la réglementation		Il est facile de trouver des donnes qui appuient une hypothse ou une croyance, mais la transformation de donnes en preuves permettant dtablir un lien de causalit exige des efforts et de la rigueur. Visionnez notre sance du 19 mai avec Hector Cardenas pour en savoir plus	https://www.gcpedia.gc.ca/wiki/CRF_Conception_de_la_r%C3%A9glementation_19_mai_2021
GCDE:0005033	CFS - NRCan Toolkit		DataStewardship	Other		Mentioned in breakouts	Government of Canada				Data Stewardship Quest	same as Culture project.		Essential data complete	Thom Kearney	6/17/2022				
GCDE:0004356	CGDI Analysis Ready Data Service Kits		Climate, Geospatial, Indigenous	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/2364749d-70a0-4874-956d-a636401ac5a6	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004357	CH_636_Rangifer_tarandus_caribou_Boreal		Climate, Geospatial	Dataset	Web Map Services	Geospatial Dataset	Government of Canada			https://maps-cartes.ec.gc.ca/arcgis/rest/services/BC_CriticalHabitat_CB_HabitatEssentiel/MapServer/21	From FGP	Supports OSDP Biodiversity		Legacy	Thom Kearney	2/11/2022				
GCDE:0004358	CH_638_Rangifer_tarandus_caribou_SouthernMountain		Climate, Geospatial	Dataset	Web Map Services	Geospatial Dataset	Government of Canada			https://maps-cartes.ec.gc.ca/arcgis/rest/services/BC_CriticalHabitat_CB_HabitatEssentiel/MapServer/22	From FGP	Supports OSDP Biodiversity		Legacy	Thom Kearney	2/11/2022				
GCDE:0004359	Characterization of the banks of the river part of the St. Lawrence River and analysis of the evolution of hydro-climatic factors influencing erosion and flooding hazards		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/8301c7ed-6b27-4319-9150-435246634b90	From OPEN DATA and From FGP		Quebec Government	Legacy	Thom Kearney	2/11/2022				
GCDE:0000007	Chief Data Officers Council	CDO Council	Governance, DataCentric , DataTalent	Committees	Councils	There are six Chief data officers in GEDS.   The purpose of the CDO Council is to  Create a community to share information related to data activities, experiences, knowledge, and best practices across government, including but not limited to data management and governance, metadata, interoperability, open government, and privacy real vs. perceived barriers, etc.  Promote opportunities for government departments to partner on proofs of concept, engagement with industry and academia, and other crossgovernment projects  Partner with CIOs across government to integrate and align strategies, plans, and policies to deliver digital services and leverage emerging technologies to Canadians and federal employees, providing the business perspective to drive technology adoption.  Act as coordinating body for GC data and analytics issues encouraging advocacy as necessary.	GC Interdepartmental				Original Prototype			Legacy	Thom Kearney	1/27/2021				
GCDE:0001832	Chief Financial Officer Branch		ESDC-DEMO	Teams	Branch			Branch						Legacy	Thom Kearney	10/6/2021				
GCDE:0000008	Chief Information Officers Council (CIOC)	CIO Council	Governance, DataCentric , DigitalAmbition	Committees	Councils	The CIOC is a forum for consultation and information exchange on matters relating to the effective management and use of information and technology in support of program and service delivery in the Government of Canada.	GC Interdepartmental				Original Prototype	TBS		Legacy	Thom Kearney	1/27/2021				
GCDE:0000009	Chief Results & Delivery Officers		Governance, DataCentric 	Committees		Committee via PCO	GC Interdepartmental				Original Prototype	CRDOs		Legacy	Thom Kearney	1/27/2021				
GCDE:0000600	Chief Science Data Officers	CSDO	Science, Climate	Communities	Communities	Emerging group of people appointed as CSDOS in Science Based Departments and Agencies.  Many CSDO are also CDOs while others are combining it with the Chief Scientist role.	GC Interdepartmental				July 8 Data Leads presentation 	ISED CoP.   Need detaisl and links to departments that have one		Legacy	Thom Kearney	7/8/2021				
GCDE:0000601	CIHI’s Health Data and Information Governance and Capability Framework		Governance, Climate, DataCentric , DigitalTalent	Policy Instruments	Framework	CIHIs Health Data and Information Governance and Capability Frameworkand companion toolkits are designed to help health organizations get started on a data and information governance path. These documents contain foundational knowledge, a checklist of capabilities and guides for performing internal and networkbased assessments. After completing these assessments, organizations can create a plan that, once implemented, allows them to better govern their data and information, both individually and collectively along data supply chains.	NGO			https://www.cihi.ca/en/health-data-and-information-governance-and-capability-framework				Legacy	Thom Kearney	7/8/2021	Cadre de renforcement des compétences et de la gouvernance en matière de données et d’information sur la santé		Afin daider les organismes de sant  adopter une structure de gouvernance des donnes et de linformation, nous avons conçu le Cadre de renforcement des comptences et de la gouvernance en matire de donnes et dinformation sur la sant de lICIS ainsi que des trousses doutils complmentaires. Ces documents renferment des connaissances fondamentales, une liste de vrification des comptences et des guides dvaluation destins aux organismes et aux rseaux dorganismes.	https://www.oag-bvg.gc.ca/internet/Francais/parl_oag_201805_05_f_43037.html
GCDE:0000042	CIO Strategy Council		Standards	Organizations	Non-profit organization	Primary national forum bringing together the countrys most forwardthinking chief information officers and executive technology leaders to collectively mobilize on common digital priorities.	NGO		Innovation Science and Industry	https://ciostrategycouncil.com/	Original Prototype			Legacy	Thom Kearney	1/27/2021	Conseil Stratégique des DPI		Nous sommes la tribune principale canadienne pour les dirigeants principaux de linformation les plus avantgardistes du Canada qui semploient collectivement  transformer,  façonner et  influencer lcosystme canadien de linformation et de la technologie.	https://ciostrategycouncil.com/?lang=fr
GCDE:0005272	CIOC - HR Subcommittee		DigitalTalent, HR, Governance	Committees	Committees		Government of Canada							Essential data complete	Thom Kearney	12/12/2022				
GCDE:0000137	CIRNAC - Chief Finances Results and Delivery Office 		CIRNAC/ISCDataLeadership, Indigenous	Teams	Teams 	CIRNAC CFRDO leadership, with support from SRDIB, on the mandate tracker, stock take, Departmental Results Framework and PIPs	Government of Canada				D.Prosser (CIRNAC)			Legacy	Thom Kearney	5/31/2021				
GCDE:0000138	CIRNAC - Communications		CIRNAC/ISCDataLeadership, Indigenous	Teams		CIRNAC Communications in partnership with ISC communications to ensure the timely and consistent flow of information across facebook, instragram, twitter regarding Indigenous activities	Government of Canada				D.Prosser (CIRNAC)	ONE OF CIRNACS DATA GOALS  CIRNAC Promotes selfreliance, prosperity, and wellbeing for the residents and communities of the Canadian North, taking into account their respective needs and challenges		Legacy	Thom Kearney	5/31/2021				
GCDE:0001995	Cisco Learning Locator		DataLiteracy 	Learning Resources	Courses	Ciscoauthorized training around the world	Other			https://learninglocator.cloudapps.cisco.com/#/home				Legacy	Thom Kearney	12/6/2021	Cisco Learning Locator			https://learninglocator.cloudapps.cisco.com/#/home
GCDE:0001839	Citizen Service Branch		ESDC-DEMO	Teams	Branch			Branch						Legacy	Thom Kearney	10/6/2021				
GCDE:0004847	City of Ottawa			Organizations	Other Government	Ottawa City Hall	Other Government			https://ottawa.ca/en	Open Gov Quest May 2022			Essential data complete	Thom Kearney	5/3/2022	Ville d'Ottawa			https://ottawa.ca/fr
GCDE:0004848	City of Ottawa - Open Ottawa		OpenGov	Data Sources	Data Sources	A place to explore and download open spatial and tabular datasets, discover existing apps or build ones using APIs. You can analyze and combine datasets using maps, as well as develop new web and mobile applications.	Other Government			https://open.ottawa.ca/	Open Gov Quest May 2022			Essential data complete	Thom Kearney	5/3/2022	Ottawa ouverte		Ce site prsente des donnes publies par la Ville dOttawa que peut consulter gratuitement la population. Nhsitez pas  explorer le site et  tlcharger des donnes spatiales ouvertes ainsi que des ensembles de donnes tabulaires,  vous familiariser avec les applications ou  en concevoir  laide des interfaces de programmation dapplications API. Vous pouvez analyser et combiner des ensembles de donnes au moyen de cartes, ainsi que dvelopper de nouvelles applications Web et mobiles	https://ouverte.ottawa.ca/
GCDE:0004849	City of Toronto			Organizations	Other Government	Toronto City Hall is the seat of municipal government and corporate head office for Canadas largest city.	Other Government			https://www.toronto.ca/city-government/data-research-maps/open-data//	Open Gov Quest May 2022			Essential data complete	Thom Kearney	5/3/2022	Cité de Toronto			
GCDE:0004850	City of Toronto - Open Data		OpenGov, DataSource	Data Sources	Data Sources	The City of Torontos Open Data Portal is an open source delivery tool to bring people and data together. Whether youre an app developer, an engaged citizen, or a student trying to learn more about how the city works, the Open Data Portal contains a wealth of datasets for you to explore. We update regularly with new datasets, and welcome your requests.	Other Government			https://www.toronto.ca/city-government/data-research-maps/open-data/	Open Gov Quest May 2022			Essential data complete	Thom Kearney	5/3/2022				
GCDE:0004934	Classification Renewal		DataTalent	Projects and Initiatives		The Treasury Board of Canada Secretariat has been working with bargaining agents and different functional communities to look at how we can update the classification system to reflect the work being performed in the public service today and into the future.  As a result of this work, changes will be made to the Program and Administrative Services PA group, as well as the Financial Management FI and Auditing AU groups.  As part of the updates to the classification system, the Computer Systems CS group was converted to the new Information Technology IT group on December 9, 2021. The PA, FI and AU group changes are planned for June 2024.	Government of Canada			https://intranet.canada.ca/hr-rh/pss-dfp/oew-oet/cr-rc-eng.asp				Legacy	Thom Kearney	5/26/2022	Renouvellement de la classification			https://intranet.canada.ca/hr-rh/pss-dfp/oew-oet/cr-rc-fra.asp
GCDE:0002023	Clean Growth Hub		Climate	Programs and Services	Projects/initiatives	The Clean Growth Hub is a free service offered by the Government of Canada. We work with clean technology producers and adopters to help find federal programs and services to advance clean tech projects.	GC Interdepartmental			https://www.ic.gc.ca/eic/site/099.nsf/eng/home				Legacy	Thom Kearney	12/6/2021	Carrefour de la croissance propre		Le Carrefour de croissance propre est un service gratuit du gouvernement du Canada. Nous travaillons avec les producteurs et les utilisateurs de technologies propres afin de les aider  trouver des programmes et des services fdraux qui feront progresser les projets de technologies propres.	https://www.ic.gc.ca/eic/site/099.nsf/fra/accueil
GCDE:0002760	Clean Technology Data Guidance		Climate	Policy Instruments	Guidelines	Link to a GCpedia site with a series of documents that outline the recommended data and formats for clean technology programs to improve the consistency of administrative data collected. This guidance supports the Clean Technology Data Strategy, which aims to ensure there is data available to measure the economic, environmental and social impacts of clean technology in Canada. Administrative Data is the data that government programs collect from applicants and funding recipients during program administration. This guidance helps ensure that the relevant administrative data is available and more easily aggregated to conduct meaningful analysis of the governments investments in clean technology. This guidance is designed to align and complement the Treasury Board Secretariat TBS guidelines on the reporting of Grants and Contributions GsCs.	Government of Canada			https://www.gcpedia.gc.ca/wiki/About_the_Hub_/_A_propos_du_Carrefour				Legacy	Thom Kearney	1/10/2022	Orientation En Matière De Données Sur Les Technologies Propres		Lien vers un site GCpedia contenant une srie de documents qui dcrivent les donnes et les formats recommands pour les programmes de technologies propres afin damliorer la cohrence des donnes administratives recueillies. Ces orientations appuient la Stratgie relative aux donnes sur les technologies propres, qui vise  garantir la disponibilit de donnes permettant de mesurer les rpercussions conomiques, environnementales et sociales des technologies propres au Canada. Les donnes administratives sont les donnes que les programmes gouvernementaux recueillent auprs des demandeurs et des bnficiaires de financement pendant ladministration des programmes. Cette orientation permet de sassurer que les donnes administratives pertinentes sont disponibles et plus facilement agrges pour effectuer une analyse significative des investissements du gouvernement dans les technologies propres. Ces directives sont conçues pour saligner et complter les lignes directrices du Secrtariat du Conseil du Trsor SCT sur la dclaration des subventions et des contributions S et C.   Traduit avec www.DeepL.comTranslator version gratuite	https://www.gcpedia.gc.ca/wiki/About_the_Hub_/_A_propos_du_Carrefour
GCDE:0002038	Clean Technology Data Strategy		Climate	Policy Instruments	Strategies	Coled by NRCan and ISED, the Clean Technology Data Strategy CTDS provides the latest information to measure the economic, environmental and social contributions of the cleantech sector in Canada. This information is used to track and understand Canadas contribution to clean growth and the transition to a lowcarbon economy. The CTDS defines what clean technology is and includes data on GDP, employment, and trade in Canada.	Government of Canada			https://www.ic.gc.ca/eic/site/099.nsf/eng/h_00019.html				Legacy	Thom Kearney	1/10/2022	Stratégie relative aux données sur les technologies propres		tablie en 2017, la Stratgie relative aux donnes sur les technologies propres SRDTP fournit les renseignements les plus rcents permettant de mesurer les contributions conomiques, environnementales et sociales du secteur des technologies propres du Canada. Les biens et services des technologies propres sont offerts par une vaste gamme dentreprises canadiennes et couvrent tous les secteurs de lconomie. Le suivi de ces activits est essentiel pour comprendre la contribution du Canada  la croissance propre et la transition vers une conomie  faibles missions de carbone.	https://www.ic.gc.ca/eic/site/099.nsf/fra/h_00019.html
GCDE:0001847	Client Feedback and Survey Data		ESDC-DEMO	Teams				Division						Legacy	Thom Kearney	10/6/2021				
GCDE:0004360	Climate Action Map		Climate, Geospatial, Indigenous	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/ee421d50-dffd-41fb-976c-5bbfec04b2dd	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004361	Climate Action Map Data Layer		Climate, Geospatial	Dataset	Web Map Services	Geospatial Dataset	Government of Canada			https://maps-cartes.ec.gc.ca/arcgis/rest/services/CAM/MapServer/0	From FGP			Legacy	Thom Kearney	2/11/2022				
GCDE:0001962	Climate Atlas of Canada		Climate	Data Sources			Government of Canada							Legacy	Thom Kearney	10/31/2021				
GCDE:0004362	Climate Change Vulnerability		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	PT+ FN			https://gcgeo.gc.ca/geonetwork/metadata/eng/3603f75a-1963-4130-9fc5-ab3e7272211a	From OPEN DATA and From FGP		Quebec Government	Legacy	Thom Kearney	2/11/2022				
GCDE:0001991	Climate Data Hub		Climate, DataSource	Data Sources	Data Sources	Climate Plan implementation tracker	GC Interdepartmental, PT+ FN							Legacy	Thom Kearney	12/6/2021				
GCDE:0002022	Climate Lens		Governance, Climate	Policy Instruments	Strategies		GC Interdepartmental					Can we find a link		Legacy	Thom Kearney	12/6/2021				
GCDE:0004363	Climate moisture index for Canada		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/de1704c8-ba69-4e66-ac4b-13b966e2eedf	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004364	Climate Moisture Index for Canada - Long-term (2071-2100) under RCP 2.6		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/01f88afc-5002-4dee-9ed9-fd26e32bd643	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004365	Climate Moisture Index for Canada - Long-term (2071-2100) under RCP 8.5		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/6b4ab063-b8fe-47fe-b68e-897cb2fb91f0	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004366	Climate Moisture Index for Canada - Medium-term (2041-2070) under RCP 8.5		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/77602df0-b797-4aff-af7c-287ab9999070	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004367	Climate Moisture Index for Canada - Reference Period (1981-2010)		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/6163c6e4-5e0a-4dd1-9277-2e45b543c3cf	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004368	Climate Moisture Index for Canada - Short-term (2011-2040) under RCP 8.5		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/06be2cfe-d334-4f92-94ae-62a7615e9d28	From OPEN DATA and From FGP		Natural Resources Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004369	Climate Normals 1981-2010		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/746f9469-ab78-5dcc-b165-4b51e8ab8652	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004676	Climate Policy 		Climate	Annotations			Not Applicable							Legacy	Thom Kearney	2/25/2022				
GCDE:0005105	Climate Science Plan		Climate	Policy Instruments	Strategies	Presentation	Government of Canada					Placeholder for a document Alison shared.		Legacy	Thom Kearney	7/5/2022				
GCDE:0002030	ClimateData.ca		Climate, DataCentric , DataSource	Data Sources	Data Sources	ClimateData.ca provides highresolution climate data to help decision makers build a more resilient Canada.	Government of Canada			https://climatedata.ca/?_gl=1%2A1ec60xx%2A_ga%2AMTI5MDQ4ODExMi4xNjM5MTUxODc3%2A_ga_3330ZYEQPW%2AMTYzOTE1MTg3Ni4xLjEuMTYzOTE1MTkyNy4w&_ga=2.59165038.2102815534.1639151877-1290488112.1639151877		Climatedata.ca is a collaboration between Environment and Climate Change Canada ECCC, the Computer Research Institute of Montral CRIM, Ouranos, the Pacific Climate Impacts Consortium PCIC, the Prairie Climate Centre PCC, and HabitatSeven		Legacy	Thom Kearney	12/10/2021	Des données climatiques		Donneesclimatiques.ca fournit des donnes climatiques  haute rsolution pour aider les dcideurs  btir un meilleur avenir pour le Canada.	https://donneesclimatiques.ca/?_gl=1%2Aq12jm2%2A_ga%2AMTI5MDQ4ODExMi4xNjM5MTUxODc3%2A_ga_3330ZYEQPW%2AMTYzOTE1MTg3Ni4xLjAuMTYzOTE1MTg3Ni4w&_ga=2.226935134.2102815534.1639151877-1290488112.1639151877
GCDE:0004833	Closing Canada’s Big Data Talent Gap		DataTalent	Knowledge Sharing Product	Resources	Canadas Big Data Analitics talent shortage and what couldbe done about it.	Learning Provider			https://www.ryerson.ca/content/dam/provost/PDFs/Big_Data_Talent_Gap.pdf	Data Talent Quest April 2022	Report		Essential data complete	Thom Kearney	5/3/2022				
GCDE:0004370	CMIP5 Multi-model Ensembles of Precipitation projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/6f08807c-3233-47bf-b6ca-4d0237932543	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004371	CMIP5 Multi-model Ensembles of Sea Ice Concentration projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/76804e79-a9ad-472f-90f9-ef33d065478d	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004372	CMIP5 Multi-model Ensembles of Sea Ice Thickness projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/394ecf44-2e48-4088-8f07-282513a86bda	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004373	CMIP5 Multi-Model Ensembles of Snow Depth projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/d43e5502-7efc-4b9c-9a67-48bc8e0b099a	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004374	CMIP5 Multi-Model Ensembles of surface Wind Speed projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/a55fa67d-7e74-4323-b4f9-047fe273bcf2	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004375	CMIP5 Multi-model Ensembles of Temperature projections		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/ce5b431c-9ea3-43d2-be84-5ab89d52c878	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0001987	Code for Canada		DataTalent, HR, DataPractitioner, DigitalTalent	Organizations	Learning provider, Communities	Code for Canada is a national nonprofit that enables governments to deliver better digital services and empowers communities to solve civic challenges. Our programs connect residents, government innovators and civic technologists, so they can work together to build a better nation.	NGO			https://codefor.ca/				Legacy	Thom Kearney	12/4/2021	Code for Canada		Code for Canada est un organisme national  but non lucratif qui aide les gouvernements  offrir de meilleurs services numriques et qui donne aux collectivits les moyens de relever des dfis civiques. Nos programmes rassemblent des rsidents, des innovateurs du gouvernement et des experts des technologies civiques afin quils puissent, ensemble, btir une meilleure nation.	https://codefor.ca/fr/
GCDE:0000149	Co-Developed Frameworks for Metis self-determination 		Codevelopment, Indigenous	Policy Instruments	Framework	These agreements affirm the Mtis right of selfgovernment and recognize the mandates of the Mtis Nation of Alberta, the Mtis Nation of Ontario and the Mtis NationSaskatchewan. The agreements also set out next steps to formally recognize Mtis governments as Indigenous governments in Canadian law.	PT+ FN				D.Prosser (CIRNAC)			Legacy	Thom Kearney	6/1/2021				
